"destination_id","ten_diem_den","tinh_thanh","vung","du_bao","diem_rui_ro_7_ngay","muc_rui_ro_7_ngay","ly_do","hanh_dong_de_xuat","cap_nhat_luc"
"ha_long","Ha Long","Quang Ninh","northeast","7 ngày","85.08","đỏ","rủi ro thời tiết cao; proxy giá/lưu trú căng","Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","20/05/2026 17:50"
"cat_ba","Cat Ba","Hai Phong","northeast","7 ngày","66.96","vàng","rủi ro thời tiết cao","Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","20/05/2026 17:50"
"quy_nhon","Quy Nhon","Binh Dinh","south_central_coast","7 ngày","65.1","vàng","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"da_nang","Da Nang","Da Nang","central_coast","7 ngày","64.47","vàng","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"mui_ne","Mui Ne","Binh Thuan","south_central_coast","7 ngày","61.98","vàng","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"sam_son","Sam Son","Thanh Hoa","north_central_coast","7 ngày","53.74","vàng","rủi ro thời tiết cao; hạ tầng proxy yếu","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"hoi_an","Hoi An","Quang Nam","central_coast","7 ngày","53.13","vàng","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"hue","Hue","Hue","central_coast","7 ngày","49.51","vàng","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"vung_tau","Vung Tau","Ba Ria - Vung Tau","southeast","7 ngày","39.42","xanh","áp lực ở mức theo dõi từ dữ liệu hiện có","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"cua_lo","Cua Lo","Nghe An","north_central_coast","7 ngày","35.9","xanh","hạ tầng proxy yếu","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ninh_binh","Ninh Binh","Ninh Binh","red_river_delta","7 ngày","43.78","xám","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ly_son","Ly Son","Quang Ngai","central_coast_islands","7 ngày","43.32","xám","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ha_noi","Ha Noi","Ha Noi","red_river_delta","7 ngày","41.74","xám","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ha_giang","Ha Giang","Ha Giang","northern_mountains","7 ngày","40.21","xám","rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"phu_quoc","Phu Quoc","Kien Giang","mekong_islands","7 ngày","35.5","xám","thiếu POI/nguồn kiểm định","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"phong_nha","Phong Nha - Kẻ Bàng","Quảng Bình","Bắc Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ba_na","Bà Nà Hills","Đà Nẵng","Duyên hải miền Trung","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"mai_chau","Mai Châu","Hòa Bình","Miền núi phía Bắc","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
