destination_id,ten_diem_den,metric_name,metric_score,confidence_score,confidence_label,confidence_reason,source_list,last_updated,proxy_validation_error
ha_long,Ha Long,Điểm áp lực điểm đến,84.73,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
ha_long,Ha Long,Điểm rủi ro thời tiết,84.1,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
ha_long,Ha Long,Điểm sẵn sàng hạ tầng,57.9,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
ha_long,Ha Long,Điểm cơ hội kinh tế,50.88,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
ha_long,Ha Long,Điểm điều phối khách,61.76,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; proxy giá/lưu trú căng,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
cat_ba,Cat Ba,Điểm áp lực điểm đến,70.81,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
cat_ba,Cat Ba,Điểm rủi ro thời tiết,96.38,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
cat_ba,Cat Ba,Điểm sẵn sàng hạ tầng,54.82,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
cat_ba,Cat Ba,Điểm cơ hội kinh tế,49.67,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
cat_ba,Cat Ba,Điểm điều phối khách,35.0,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
quy_nhon,Quy Nhon,Điểm áp lực điểm đến,65.71,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
quy_nhon,Quy Nhon,Điểm rủi ro thời tiết,68.32,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
quy_nhon,Quy Nhon,Điểm sẵn sàng hạ tầng,52.49,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
quy_nhon,Quy Nhon,Điểm cơ hội kinh tế,47.38,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
quy_nhon,Quy Nhon,Điểm điều phối khách,35.0,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
da_nang,Da Nang,Điểm áp lực điểm đến,63.06,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
da_nang,Da Nang,Điểm rủi ro thời tiết,49.64,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
da_nang,Da Nang,Điểm sẵn sàng hạ tầng,75.02,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
da_nang,Da Nang,Điểm cơ hội kinh tế,67.11,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
da_nang,Da Nang,Điểm điều phối khách,79.84,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
mui_ne,Mui Ne,Điểm áp lực điểm đến,60.78,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
mui_ne,Mui Ne,Điểm rủi ro thời tiết,49.66,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
mui_ne,Mui Ne,Điểm sẵn sàng hạ tầng,58.88,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
mui_ne,Mui Ne,Điểm cơ hội kinh tế,52.03,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
mui_ne,Mui Ne,Điểm điều phối khách,35.0,76.5,Khá,Nguồn: mixed_proxy_near_real_time; áp lực ở mức theo dõi từ dữ liệu hiện có,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
sam_son,Sam Son,Điểm áp lực điểm đến,58.85,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; hạ tầng proxy yếu,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
sam_son,Sam Son,Điểm rủi ro thời tiết,97.98,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; hạ tầng proxy yếu,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
sam_son,Sam Son,Điểm sẵn sàng hạ tầng,35.04,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; hạ tầng proxy yếu,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
sam_son,Sam Son,Điểm cơ hội kinh tế,28.78,76.5,Khá,Nguồn: mixed_proxy_near_real_time; rủi ro thời tiết cao; hạ tầng proxy yếu,OpenStreetMap; Open-Meteo; OTA snapshot; destination graph,2026-05-20T12:12:36+07:00,
