ma_nguon,ten_nguon,loai_du_lieu,duong_dan_nguon,kiem_tra_lan_cuoi,cap_nhat_thanh_cong_lan_cuoi,co_du_lieu_moi,so_item_moi,ngay_bai_hoac_bao_cao_moi_nhat,trang_thai,hanh_dong_can_lam,dataset_bi_anh_huong,muc_uu_tien,ghi_chu
vnat_report,Báo cáo du lịch VNAT,báo cáo du lịch,https://thongke.tourism.vn/,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,national_destination_alerts,cao,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
gso_report,Báo cáo GSO,báo cáo thống kê,https://www.gso.gov.vn/,21/05/2026 13:18,,Chưa rõ,0,,cần kiểm tra,kiểm tra nguồn trước khi đưa vào hàng chờ cập nhật,tourism_demand_monthly,trung bình,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
caav_acv_report,CAAV/ACV,hàng không,https://caa.gov.vn/;https://vietnamairport.vn/,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,flight_price_signal,cao,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
flight_price,Dữ liệu vé máy bay,giá vé máy bay,chưa cấu hình nguồn,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,chưa cấu hình nguồn,bổ sung URL/API hợp lệ trước khi cập nhật,flight_price_signal,trung bình,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
attraction_ticket,Vé khu vui chơi,giá vé,datasets/raw/tickets,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,attraction_ticket_catalog;ticket_pressure_scores,cao,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
hotel_price,Giá khách sạn,giá khách sạn,datasets/booking;datasets/traveloka,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,hotel_price_pressure,cao,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
tourism_news,Tin tức du lịch,tin tức,Google SERP/RapidAPI nếu có key,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,news_events;news_risk_signals,cao,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
weather_risk,Tin thời tiết/rủi ro,thời tiết,https://open-meteo.com/,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,forecast_demand_scores;national_destination_alerts,cao,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
traffic_news,Tin giao thông/kẹt xe/sạt lở,giao thông,Google SERP/RapidAPI nếu có key,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,redistribution_features;national_destination_alerts,cao,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
event_festival,Sự kiện/lễ hội,sự kiện,Google SERP/RapidAPI nếu có key,21/05/2026 13:18,21/05/2026 13:18,Không,0,21/05/2026 13:18,mới nhất,không cần; theo dõi định kỳ,news_events;forecast_demand_scores,trung bình,Không gọi dữ liệu mới nếu chưa có API/key hợp lệ; không gọi proxy là realtime.
