kpi_name,level,formula_inputs,optimization_direction,decision_use
Occupancy Rate,hotel_destination,booked_rooms;available_rooms,target_band,capacity_and_pricing
Average Tourist Spending,destination,visitor_spending;visitor_count,maximize_with_sustainability,economic_efficiency
Average Stay Duration,destination,total_guest_nights;visitor_count,maximize,off_season_activation
Congestion Reduction Rate,zone,baseline_congestion;post_intervention_congestion,maximize,redistribution
Redistribution Effectiveness,destination_pair,redirected_visitors;overloaded_visitors;alternative_capacity,maximize,flow_balancing
Off-season Revenue Growth,destination,offseason_revenue_current;offseason_revenue_baseline,maximize,seasonal_balancing
Tourist Satisfaction,poi_destination,review_score;sentiment_score;complaint_frequency,maximize,quality_management
Infrastructure Utilization,destination,actual_load;designed_capacity,target_band,operations
Revenue Stability,destination,revenue_volatility;monthly_revenue,target_low_volatility,economic_resilience
Local Economic Participation,destination,local_business_revenue;total_tourism_revenue,maximize,inclusive_growth

