event_id,keyword,title,source_url,published_time,affected_destination_id,affected_destination,event_type,risk_score_delta,opportunity_score_delta,data_type,confidence_score,summary_vi
local_signal_ha_long,du lịch Ha Long,Tín hiệu vận hành tổng hợp cho Ha Long,local_gold_current,2026-05-20T12:21:17+07:00,ha_long,Ha Long,event_pressure,8,2,local_signal_from_gold_data,76.5,rủi ro thời tiết cao; proxy giá/lưu trú căng
local_signal_cat_ba,du lịch Cat Ba,Tín hiệu vận hành tổng hợp cho Cat Ba,local_gold_current,2026-05-20T12:21:17+07:00,cat_ba,Cat Ba,event_pressure,8,2,local_signal_from_gold_data,76.5,rủi ro thời tiết cao
local_signal_quy_nhon,du lịch Quy Nhon,Tín hiệu vận hành tổng hợp cho Quy Nhon,local_gold_current,2026-05-20T12:21:17+07:00,quy_nhon,Quy Nhon,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_da_nang,du lịch Da Nang,Tín hiệu vận hành tổng hợp cho Da Nang,local_gold_current,2026-05-20T12:21:17+07:00,da_nang,Da Nang,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_mui_ne,du lịch Mui Ne,Tín hiệu vận hành tổng hợp cho Mui Ne,local_gold_current,2026-05-20T12:21:17+07:00,mui_ne,Mui Ne,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_sam_son,du lịch Sam Son,Tín hiệu vận hành tổng hợp cho Sam Son,local_gold_current,2026-05-20T12:21:17+07:00,sam_son,Sam Son,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,rủi ro thời tiết cao; hạ tầng proxy yếu
local_signal_hoi_an,du lịch Hoi An,Tín hiệu vận hành tổng hợp cho Hoi An,local_gold_current,2026-05-20T12:21:17+07:00,hoi_an,Hoi An,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_hue,du lịch Hue,Tín hiệu vận hành tổng hợp cho Hue,local_gold_current,2026-05-20T12:21:17+07:00,hue,Hue,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_vung_tau,du lịch Vung Tau,Tín hiệu vận hành tổng hợp cho Vung Tau,local_gold_current,2026-05-20T12:21:17+07:00,vung_tau,Vung Tau,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có
local_signal_cua_lo,du lịch Cua Lo,Tín hiệu vận hành tổng hợp cho Cua Lo,local_gold_current,2026-05-20T12:21:17+07:00,cua_lo,Cua Lo,economic_opportunity,-5,6,local_signal_from_gold_data,76.5,hạ tầng proxy yếu
local_signal_ninh_binh,du lịch Ninh Binh,Tín hiệu vận hành tổng hợp cho Ninh Binh,local_gold_current,2026-05-20T12:21:17+07:00,ninh_binh,Ninh Binh,economic_opportunity,-5,6,local_signal_from_gold_data,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định
local_signal_ly_son,du lịch Ly Son,Tín hiệu vận hành tổng hợp cho Ly Son,local_gold_current,2026-05-20T12:21:17+07:00,ly_son,Ly Son,economic_opportunity,-5,6,local_signal_from_gold_data,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định
