dataset_id,status,realtime_level,completeness,reliability,operational_ready,source_type,blocker,next_action
booking_hotels_raw,proxy_based,batch_snapshot,medium,medium,no,OTA_public_extract,"No approved partner API; no occupancy; no lat/lng; terms review required","Keep as evidence/proxy; request partner API or PMS/channel manager feed"
booking_reviews_raw,partial,batch_snapshot,medium,medium,no,OTA_public_extract,"Small corpus; no sentiment/topic model; terms review required","Run NLP pipeline after governance review"
traveloka_hotels_raw,proxy_based,batch_snapshot,medium_high,medium,no,OTA_public_extract,"No true room availability or occupancy; no lat/lng; terms review required","Use as hotel supply/price proxy; negotiate partner feed"
traveloka_reviews_raw,partial,batch_snapshot,medium,medium,no,OTA_public_extract,"No sentiment/topic model; no live complaint feed","Run multilingual sentiment/topic classifier"
hotels_inventory_silver,partial,batch_snapshot,medium,medium,no,derived_silver,"Sparse province_code; no entity resolution; no lat/lng; no true capacity","Add destination alias mapping, geocoding, canonical_property_id"
public_reviews_silver,partial,batch_snapshot,medium,medium,no,derived_silver,"Sentiment not computed; no POI linkage","Build NLP feature table with model version and confidence"
weather_daily_gold,production_ready,hourly_possible,high,high,yes,open_api,"No marine forecast, UV, storm warning or environmental pressure","Add Open-Meteo forecast/marine and official storm warnings"
weather_monthly_gold,production_ready,batch_monthly,high,high,yes,open_api,"Not realtime; no forecast horizon","Use for seasonality; pair with realtime weather feed"
hotel_supply_gold,partial,batch_snapshot,medium,medium,no,derived_gold,"Province mapping incomplete; no room capacity; duplicate risk","Rebuild after hotel entity resolution and geospatial enrichment"
review_sentiment_gold,schema_only,batch_snapshot,low,medium,no,derived_gold,"sentiment_method is not_computed","Compute sentiment/topic/crowding complaint features"
crawler_records_bronze,partial,batch_raw,low,high,no,official_raw_html,"Only 3 records; HTML not structured statistics","Parse official XLS/CSV endpoints or maintain raw evidence"
tourism_demand_gold,schema_only,none,none,high,no,official_planned,"No parsed visitor arrivals; official integration pending","Parse VNAT/GSO/local DoT structured data"
transport_flow_gold,schema_only,none,none,high,no,official_planned,"No airport/rail/bus/ferry structured load","Integrate CAAV/ACV/VNR/ferry/bus schedules and passenger counts"
poi_capacity_gold,schema_only,none,none,medium,no,open_api_planned,"No POI master, capacity, opening hours or geospatial layer","Build OSM/Overpass plus official POI master"
events_calendar_gold,schema_only,none,none,medium_high,no,official_planned,"No event date/location/expected attendance","Integrate local tourism/event portals and ticketing sources"
traffic_travel_time,missing,realtime_required,none,high,no,api_partner_required,"No Google/HERE/TomTom/local traffic API key","Acquire API key and build route travel-time collector"
crowd_density_hotspots,missing,realtime_required,none,medium,no,sensor_or_partner_required,"No legal sensor/telco/counter feed","Define privacy-safe aggregate crowd data partnership"
parking_occupancy,missing,realtime_required,none,medium,no,operator_required,"No parking capacity/occupied feed","Integrate smart parking or local operator data"
booking_velocity,missing,hourly_to_daily_required,none,medium_high,no,partner_required,"No official OTA/PMS booking velocity","Acquire OTA/PMS/channel manager data agreement"
tourism_revenue_local,missing,monthly_required,none,high,no,official_or_partner_required,"No granular revenue, spending or local participation data","Integrate GSO/provincial statistics, tax/payment aggregates"
environmental_pressure,missing,daily_to_hourly_required,none,high,no,official_or_sensor_required,"No waste, water, electricity, wastewater, beach quality feeds","Integrate utilities and environment monitoring"
