dataset_id,ten_tieng_viet,duong_dan,nguon,source_url,ngay_cap_nhat,loai_du_lieu,do_tin_cay,dung_cho_kpi_nao,gioi_han_du_lieu,can_cap_nhat_khong,tooltip_giai_thich
weather_daily,weather daily,datasets/gold/weather_daily.csv,repo SEA,datasets/gold/weather_daily.csv,2026-05-18T23:18:09+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
weather_all_vietnam,weather all vietnam,datasets/weather/weather_all_vietnam.csv,repo SEA,datasets/weather/weather_all_vietnam.csv,2026-05-18T02:40:07+07:00,proxy,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
weather_archive_vietnam,weather archive vietnam,datasets/weather/weather_archive_vietnam.csv,repo SEA,datasets/weather/weather_archive_vietnam.csv,2026-05-18T02:39:34+07:00,proxy,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_hotels,booking hotels,datasets/booking/booking_hotels.csv,repo SEA,datasets/booking/booking_hotels.csv,2026-05-21T13:18:29+07:00,proxy,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_reviews,booking reviews,datasets/booking/booking_reviews.csv,repo SEA,datasets/booking/booking_reviews.csv,2026-05-21T13:18:30+07:00,proxy,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_scrape_status,booking scrape status,datasets/booking/booking_scrape_status.csv,repo SEA,datasets/booking/booking_scrape_status.csv,2026-05-21T13:18:30+07:00,proxy,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_hotels,booking hotels,datasets/bronze/booking/hotels/booking_hotels.csv,repo SEA,datasets/bronze/booking/hotels/booking_hotels.csv,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_hotels,booking hotels,datasets/bronze/booking/hotels/booking_hotels.parquet,repo SEA,datasets/bronze/booking/hotels/booking_hotels.parquet,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_reviews,booking reviews,datasets/bronze/booking/reviews/booking_reviews.csv,repo SEA,datasets/bronze/booking/reviews/booking_reviews.csv,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
booking_reviews,booking reviews,datasets/bronze/booking/reviews/booking_reviews.parquet,repo SEA,datasets/bronze/booking/reviews/booking_reviews.parquet,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
crawler_records,crawler records,datasets/bronze/crawler_records.csv,repo SEA,datasets/bronze/crawler_records.csv,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
crawler_records,crawler records,datasets/bronze/crawler_records.parquet,repo SEA,datasets/bronze/crawler_records.parquet,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
traveloka_hotels_full,traveloka hotels full,datasets/bronze/traveloka/hotels/traveloka_hotels_full.csv,repo SEA,datasets/bronze/traveloka/hotels/traveloka_hotels_full.csv,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
traveloka_hotels_full,traveloka hotels full,datasets/bronze/traveloka/hotels/traveloka_hotels_full.parquet,repo SEA,datasets/bronze/traveloka/hotels/traveloka_hotels_full.parquet,2026-05-21T13:18:30+07:00,mixed,55,KPI vận hành SEA nếu đã qua silver/gold; raw dùng làm bằng chứng nguồn.,Cần đọc catalog chi tiết; không xem schema-only là dữ liệu thật.,theo lịch,"Bảng audit tự động từ file trong repo, phân loại thận trọng theo thư mục."
