poi_id,source_name,source_url,collection_time,update_frequency,license_note,collection_method,destination_id,destination_name,poi_name,category,lat,lng,distance_to_destination_km,osm_type,osm_id,tags_json,capacity_status,quality_score,freshness_score,reliability_score,coverage_score
osm_node_729406385,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.030703+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Cafe Win,restaurant,16.0746726,108.2187015,3.32,node,729406385,"{""amenity"": ""cafe"", ""name"": ""Cafe Win""}",missing_capacity,70,80,70,55
osm_node_729406386,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.030911+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeKhanh Ly,restaurant,16.0627174,108.208943,1.75,node,729406386,"{""amenity"": ""cafe"", ""name"": ""CafeKhanh Ly""}",missing_capacity,70,80,70,55
osm_node_729406387,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031105+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,ThanhBinh Coffee,restaurant,16.0347187,108.2446539,4.27,node,729406387,"{""amenity"": ""cafe"", ""name"": ""ThanhBinh Coffee""}",missing_capacity,70,80,70,55
osm_node_729406388,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031186+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe Fantasy,restaurant,16.0632999,108.1601536,5.3,node,729406388,"{""amenity"": ""cafe"", ""name"": ""CaPhe Fantasy""}",missing_capacity,70,80,70,55
osm_node_729406389,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031247+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe Lang Tien,restaurant,16.0657433,108.2077628,2.08,node,729406389,"{""amenity"": ""cafe"", ""name"": ""CaPhe Lang Tien""}",missing_capacity,70,80,70,55
osm_node_729406391,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031303+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Cafe Truc Phuong,restaurant,16.0684586,108.1500026,6.52,node,729406391,"{""amenity"": ""cafe"", ""name"": ""Cafe Truc Phuong""}",missing_capacity,70,80,70,55
osm_node_729406392,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031354+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Ca Phe 83,restaurant,16.0785765,108.2193388,3.75,node,729406392,"{""amenity"": ""cafe"", ""name"": ""Ca Phe 83""}",missing_capacity,70,80,70,55
osm_node_729406393,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031402+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Cafe Dong Xanh,restaurant,16.0640577,108.2208466,2.41,node,729406393,"{""amenity"": ""cafe"", ""name"": ""Cafe Dong Xanh""}",missing_capacity,70,80,70,55
osm_node_729406394,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031449+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeTo Be,restaurant,16.0736841,108.2182886,3.2,node,729406394,"{""amenity"": ""cafe"", ""name"": ""CafeTo Be""}",missing_capacity,70,80,70,55
osm_node_729406397,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031498+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe Sao Mai,restaurant,16.0668568,108.1743586,4.1,node,729406397,"{""amenity"": ""cafe"", ""name"": ""CaPhe Sao Mai""}",missing_capacity,70,80,70,55
osm_node_729406398,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031544+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,MienThao Coffee,restaurant,16.0762311,108.2308433,4.13,node,729406398,"{""amenity"": ""cafe"", ""name"": ""MienThao Coffee""}",missing_capacity,70,80,70,55
osm_node_729406399,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031594+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,GmcCoffee,restaurant,16.0539382,108.2208037,1.68,node,729406399,"{""amenity"": ""cafe"", ""name"": ""GmcCoffee""}",missing_capacity,70,80,70,55
osm_node_729406400,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031653+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe 3 Ladies,restaurant,16.0827332,108.2219624,4.28,node,729406400,"{""amenity"": ""cafe"", ""name"": ""CaPhe 3 Ladies""}",missing_capacity,70,80,70,55
osm_node_729406401,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031698+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,OnenineCoffee,restaurant,16.066281,108.1920523,2.65,node,729406401,"{""amenity"": ""cafe"", ""name"": ""OnenineCoffee""}",missing_capacity,70,80,70,55
osm_node_729406402,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031738+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,Ca Phe Thuan,restaurant,16.0515981,108.1700044,3.96,node,729406402,"{""amenity"": ""cafe"", ""name"": ""Ca Phe Thuan""}",missing_capacity,70,80,70,55
osm_node_729406403,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031777+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeGiai Khat 204,restaurant,16.0597687,108.2135027,1.58,node,729406403,"{""amenity"": ""cafe"", ""name"": ""CafeGiai Khat 204""}",missing_capacity,70,80,70,55
osm_node_729406404,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031816+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CaPhe Konia,restaurant,16.0719493,108.2127548,2.84,node,729406404,"{""amenity"": ""cafe"", ""name"": ""CaPhe Konia""}",missing_capacity,70,80,70,55
osm_node_729406405,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031854+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,VuonNguyet Khue Vien Coffee,restaurant,16.0623504,108.208896,1.71,node,729406405,"{""amenity"": ""cafe"", ""name"": ""VuonNguyet Khue Vien Coffee""}",missing_capacity,70,80,70,55
osm_node_729406406,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031892+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeNguyen,restaurant,16.0494377,108.2133794,0.75,node,729406406,"{""amenity"": ""cafe"", ""name"": ""CafeNguyen""}",missing_capacity,70,80,70,55
osm_node_729406407,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031929+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,NgocVan Coffee,restaurant,16.0681394,108.1818645,3.55,node,729406407,"{""amenity"": ""cafe"", ""name"": ""NgocVan Coffee""}",missing_capacity,70,80,70,55
osm_node_729406408,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.031966+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeLuna,restaurant,16.0654507,108.2078514,2.04,node,729406408,"{""amenity"": ""cafe"", ""name"": ""CafeLuna""}",missing_capacity,70,80,70,55
osm_node_729406410,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-05-19T16:09:38.032007+00:00,on_demand_mvp,OpenStreetMap data under ODbL; attribution required.,Overpass around destination coordinates,da_nang,Da Nang,CafeBao Dang,restaurant,16.0674462,108.1525529,6.22,node,729406410,"{""amenity"": ""cafe"", ""name"": ""CafeBao Dang""}",missing_capacity,70,80,70,55
