destination_id,ten_diem_den,tinh_thanh,vung,forecast_granularity,forecast_horizon,diem_rui_ro_7_ngay,muc_rui_ro_7_ngay,ly_do,recommended_action,data_type,confidence_score,cap_nhat_luc,method_note
ha_long,Hạ Long,Quảng Ninh,Đông Bắc,ngày,7 ngày,85.08,đỏ,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cat_ba,Cát Bà,Hải Phòng,Đông Bắc,ngày,7 ngày,66.96,vàng,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
quy_nhon,Quy Nhơn,Bình Định,Nam Trung Bộ,ngày,7 ngày,65.1,vàng,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
da_nang,Đà Nẵng,Đà Nẵng,Duyên hải miền Trung,ngày,7 ngày,64.47,vàng,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
mui_ne,Mũi Né,Bình Thuận,Nam Trung Bộ,ngày,7 ngày,61.98,vàng,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
sam_son,Sầm Sơn,Thanh Hóa,Bắc Trung Bộ,ngày,7 ngày,53.74,vàng,rủi ro thời tiết cao; hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
hoi_an,Hội An,Quảng Nam,Duyên hải miền Trung,ngày,7 ngày,53.13,vàng,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
hue,Huế,Huế,Duyên hải miền Trung,ngày,7 ngày,49.51,vàng,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
vung_tau,Vũng Tàu,Bà Rịa - Vũng Tàu,Đông Nam Bộ,ngày,7 ngày,39.42,xanh,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cua_lo,Cửa Lò,Nghệ An,Bắc Trung Bộ,ngày,7 ngày,35.9,xanh,hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_near_real_time,76.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
