rank,destination_id,ten_diem_den,tinh_thanh,vung,loai_hinh_du_lich,muc_canh_bao,diem_ap_luc,rui_ro_thoi_tiet,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,du_bao_3_thang,co_hoi_kinh_te,kha_nang_dieu_phoi,diem_san_sang_ha_tang,loai_du_lieu,do_tin_cay,nguyen_nhan_chinh,hanh_dong_de_xuat,hieu_qua_kinh_te_ky_vong,cap_nhat_lan_cuoi,lat,lng,coastal_zone,diem_uu_tien_dau_tu,diem_suc_khoe_diem_den
1,ha_long,Ha Long,Quang Ninh,northeast,coastal;heritage,cam,84.73,84.1,84.54,85.08,78.59,73.05,50.88,61.76,57.9,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.",2026-05-20T12:42:21+07:00,20.9712,107.0448,yes,56.27,58.22
2,cat_ba,Cat Ba,Hai Phong,northeast,island;coastal;nature,cam,70.81,96.38,78.48,66.96,59.65,57.65,49.67,35.0,54.82,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.",2026-05-20T12:42:21+07:00,20.7278,107.0482,yes,53.38,60.49
3,quy_nhon,Quy Nhon,Binh Dinh,south_central_coast,coastal;urban,vàng,65.71,68.32,66.49,65.1,60.95,58.24,47.38,35.0,52.49,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,13.7563,109.2297,yes,52.01,69.1
4,da_nang,Da Nang,Da Nang,central_coast,coastal;urban;gateway,vàng,63.06,49.64,59.03,64.47,66.4,66.54,67.11,79.84,75.02,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,16.0471,108.2068,yes,51.35,81.72
5,mui_ne,Mui Ne,Binh Thuan,south_central_coast,coastal,vàng,60.78,49.66,57.44,61.98,61.19,59.36,52.03,35.0,58.88,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,10.9333,108.2833,yes,50.4,77.9
6,sam_son,Sam Son,Thanh Hoa,north_central_coast,coastal,vàng,58.85,97.98,70.59,53.74,43.65,40.68,28.78,35.0,35.04,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao; hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,19.7419,105.9020,yes,48.96,59.53
7,hoi_an,Hoi An,Quang Nam,central_coast,heritage;coastal,vàng,52.25,41.96,49.16,53.13,59.08,62.96,78.48,72.97,81.82,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,15.8801,108.3380,yes,50.82,90.54
8,hue,Hue,Hue,central_coast,heritage;urban,vàng,51.4,61.22,54.35,49.51,50.6,53.36,64.4,35.0,68.51,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,16.4637,107.5909,no,49.63,82.12
9,vung_tau,Vung Tau,Ba Ria - Vung Tau,southeast,coastal;urban,vàng,40.95,48.82,43.31,39.42,43.73,48.71,68.62,35.0,70.7,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,10.4114,107.1362,yes,47.94,90.58
10,cua_lo,Cua Lo,Nghe An,north_central_coast,coastal,xanh,36.2,40.58,37.51,35.9,34.2,33.14,28.9,35.0,37.2,mixed_proxy_near_real_time,76.5,hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,18.7929,105.7220,yes,42.59,84.72
11,ninh_binh,Ninh Binh,Ninh Binh,red_river_delta,heritage;nature,xám,48.38,85.38,59.48,43.78,34.4,31.48,19.82,35.0,23.27,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,20.2506,105.9745,no,46.88,63.86
