destination_id,kpi_id,threshold_method,green_condition,amber_condition,red_condition,confidence_score,data_requirement,threshold_status
da_nang,congestion_pressure_index,"historical_percentile_plus_local_capacity","<= p60 of historical delay/density for same season","p60-p85 or capacity warning"," > p85 or official/sensor capacity breach",0.35,"traffic travel time, crowd density, parking, POI capacity",pending_realtime_data
da_nang,beach_overload,"safe_beach_capacity_plus_lifeguard_rules","below safe beach capacity","near capacity or marine/weather warning","capacity breach or unsafe marine condition",0.30,"beach polygon, crowd count, marine forecast, lifeguard capacity",pending_capacity_data
hue,congestion_pressure_index,"heritage_site_capacity_and_queue_percentile","normal queues and route delay","queue/delay above seasonal p60","capacity/queue above p85 at heritage core",0.30,"POI capacity, ticket queues, traffic",pending_poi_data
hoi_an,hotspot_pressure,"heritage_core_capacity_and_evening_peak_percentile","below seasonal p60 load/capacity","seasonal p60-p85 or pedestrian crowding","p85 or heritage-core pedestrian capacity breach",0.30,"pedestrian counts, POI capacity, event schedule",pending_crowd_data
quy_nhon,redistribution_opportunity_score,"underutilized_capacity_benchmark","capacity available and friction acceptable","capacity available but evidence incomplete","unsafe weather or insufficient capacity",0.45,"hotel proxy, POI capacity, weather, travel time",partial_proxy
nha_trang,beach_overload,"coastal_destination_benchmark","below local beach capacity","near capacity or weather warning","capacity breach or unsafe marine condition",0.30,"beach capacity, crowd count, marine forecast",pending_capacity_data
phu_quoc,transport_overload,"flight_ferry_capacity_ratio","load/capacity below p60","p60-p85 or delay increasing","p85 or cancellation/weather disruption",0.25,"flight/ferry status and seat capacity",pending_transport_data
cat_ba,transport_overload,"ferry_capacity_and_weather_constraint","below ferry and road capacity","near ferry capacity or weather warning","ferry capacity breach or unsafe marine condition",0.25,"ferry load, road travel time, marine weather",pending_transport_data
vung_tau,parking_pressure,"parking_occupancy_percentile","parking occupancy below p60","p60-p85 or weekend surge","p85 or access-road delay breach",0.25,"parking feed and HCMC-Vung Tau travel time",pending_parking_data
sa_pa,road_access_stress,"mountain_route_delay_and_weather_risk","normal route delay/weather","delay/weather above seasonal warning","road safety/weather threshold breach",0.25,"route travel time, weather, incident feed",pending_mobility_data
ha_giang,road_access_stress,"mountain_route_safety_and_capacity","normal road/weather conditions","delay/weather warning","road safety threshold breach",0.25,"route travel time, weather, incident feed",pending_mobility_data
can_tho,event_pressure,"event_attendance_vs_venue_capacity","attendance below capacity p60","attendance p60-p85 or transport warning","p85/capacity breach",0.25,"event attendance, venue capacity, traffic",pending_event_data
an_giang,event_pressure,"festival_attendance_vs_local_capacity","attendance below capacity p60","attendance p60-p85 or transport warning","p85/capacity breach",0.25,"festival attendance, route/venue capacity",pending_event_data
ben_tre,redistribution_opportunity_score,"underutilized_capacity_benchmark","capacity available and weather suitable","capacity available but travel friction moderate","unsafe weather or capacity unknown",0.40,"POI capacity, weather, travel time",pending_poi_data
