source,dataset,source_url,layer,license_note,collection_note
vietnam_tourism_statistics,international_arrivals_by_market,https://thongke.tourism.vn/index.php/statistic/stat/6?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=14&share=99&type=type1,raw,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,Official statistics page. The portal exposes an XLS export in the browser UI; this pipeline stores the raw HTML and parses tables only if present.
vietnam_tourism_statistics,international_arrivals_by_transport,https://thongke.tourism.vn/index.php/statistic/stat/6?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=17&share=99&type=type1,raw,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,Official statistics page for air/road/sea arrivals.
vietnam_tourism_statistics,domestic_visitors_by_group,https://thongke.tourism.vn/index.php/statistic/stat/13?input-type=4&nam=2021%2C2022%2C2023%2C2024%2C2025%2C2026&rowcode=24&share=99&type=type1,raw,Official public statistics portal of Vietnam National Authority of Tourism; verify reuse requirements before redistribution.,Official statistics page for domestic visitor groups.
vietnam_tourism_news,monthly_international_arrival_articles,https://vietnamtourism.vn/index.php/news/cat/20,raw,Official Vietnam National Authority of Tourism news/statistics pages; article content is copyrighted by the publisher.,Collects public article index and linked monthly statistic pages; image-only tables are not OCRed.
civil_aviation_authority_vietnam,aviation_passenger_news,https://caa.gov.vn/hoat-dong-nganh.htm,raw,Official Civil Aviation Authority of Vietnam public news pages; use as source-attributed official text.,Collects public pages only. Numerical extraction from narrative articles requires manual QA.
booking,hotels,datasets/booking/booking_hotels.csv,bronze/silver,Previously collected public Booking.com data in this workspace. Review Booking.com terms before redistribution.,Existing file is read-only input; pipeline does not overwrite it.
booking,reviews,datasets/booking/booking_reviews.csv,bronze/silver,Previously collected public Booking.com review snippets in this workspace. Review Booking.com terms before redistribution.,Existing file is read-only input; reviewer names are not emitted in silver/gold.
traveloka,hotels,datasets/traveloka/traveloka_hotels_full.csv,bronze/silver,Previously collected public Traveloka data in this workspace. Review Traveloka terms before redistribution.,Existing file is read-only input; pipeline does not overwrite it.
traveloka,reviews,datasets/traveloka/traveloka_reviews.csv,bronze/silver,Previously collected public Traveloka review snippets in this workspace. Review Traveloka terms before redistribution.,Existing file is read-only input; reviewer names are not emitted in silver/gold.
open_meteo,weather,datasets/weather/weather_all_vietnam.csv,bronze/gold,Previously collected Open-Meteo public API data; Open-Meteo attribution required.,Existing file is read-only input; monthly aggregates are produced for forecasting features.
