kpi_id,kpi_name,domain,formula,required_data,why_not_fake,operational_decision,threshold_localization
tourist_arrivals,Tourist Arrivals,demand,"sum visitors by destination/time/origin","VNAT/GSO/local DoT arrivals; immigration/transport aggregates","Counts come from official or operator aggregates, not dashboard guesses","Staffing, capacity planning, campaign calendar","Different thresholds for gateway cities, islands, mountain routes and day-trip destinations"
booking_pressure,Booking Pressure,demand,"normalized(booking_velocity + availability_decline + price_surge)","OTA partner booking/search/availability; hotel PMS/channel manager","Uses observed market actions and availability movements","Early warning before peak dates; hotel/transport readiness","Island and beach destinations should trigger earlier due to limited capacity"
search_trend_index,Search Trend Index,demand,"normalized search interest by destination keyword and origin","Google Trends/approved search trend providers","Search index is an observed intent signal, not visitor count","Detect demand surges before bookings or arrivals appear","Use local language aliases and origin-market thresholds"
demand_surge_score,Demand Surge Score,demand,"0.4 booking_pressure + 0.3 search_trend + 0.2 flight_demand + 0.1 event_impact","Booking, trends, flight, events","Composite only from audited components with coverage flags","Activate surge playbook and communications","Weights vary by fly-in island versus drive-in weekend markets"
congestion_index,Congestion Index,congestion,"0.35 traffic_delay + 0.25 crowd_density + 0.2 parking_pressure + 0.2 transport_load","Traffic APIs, sensors, parking, transport operators","Measures physical pressure with observed movement and capacity data","Rerouting, police/traffic control, shuttle frequency","Urban corridors tolerate lower delay than remote mountain/island access routes"
beach_density,Beach Density,congestion,"estimated_people / safe_beach_area","Camera/telco aggregates, beach polygons, lifeguard counts","Requires measured or audited estimated counts and GIS area","Beach closure, time-slot guidance, alternative beaches","Capacity differs by beach width, tide, lifeguard coverage and safety risk"
queue_time,Queue Time,congestion,"median wait minutes at POI/service point","ticket gates, operator logs, mobile app check-ins, manual counters","Direct waiting-time observation, not a proxy-only metric","Open more gates, redirect visitors, adjust time slots","Heritage sites and ferry terminals require stricter thresholds"
hotspot_pressure,Hotspot Pressure,congestion,"weighted congestion, density, queue and complaint score by POI","POI sensors, reviews/social complaints, traffic","POI-specific measured pressure","Trigger micro-rerouting and staffing","Thresholds by POI capacity, cultural sensitivity and safety"
redistribution_effectiveness,Redistribution Effectiveness,redistribution,"accepted_redirected_visitors / targeted_overflow_visitors adjusted by satisfaction","Mobility/booking uptake, campaign clicks, attraction entry counts, post-visit sentiment","Measures actual uptake after intervention","Stop, continue or revise rerouting campaign","Same-day thresholds only for low-friction alternatives"
alternative_uptake,Alternative Destination Uptake,redistribution,"visits_to_alternative_after_intervention - baseline_visits","Mobility aggregates, tickets, hotel bookings, OTA packages","Causal baseline comparison prevents vanity counts","Assess whether alternatives receive demand","Use season, day-of-week and event baselines"
tourist_flow_balance,Tourist Flow Balance,redistribution,"1 - normalized variance of load/capacity across connected destinations","Crowd, hotel, transport and POI capacity across graph","Compares load against capacity, not raw visitor equality","Balance network pressure without harming revenue","Mountain/island destinations should not be forced to equal urban load"
revenue_stability,Revenue Stability,economic,"1 - coefficient_of_variation(monthly_tourism_revenue)","GSO/local revenue, tax aggregates, hotel/restaurant revenue proxies","Economic metric from revenue time series","Off-season strategy, campaign targeting","Seasonal destinations accept more variance but should improve year over year"
occupancy_rate,Occupancy Rate,economic,"booked_rooms / available_rooms","Hotel PMS/STR/AirDNA/OTA partner availability","True occupancy needs partner/operator data; OTA listing count is only proxy","Hotel staffing, price, destination capacity","Target band differs for city hotels, resorts, homestays and islands"
average_spending,Average Spending,economic,"tourism_spend / visitor_count","survey, card/payment aggregates, tax, business reports","Uses spend numerator and visitor denominator","Prioritize high-value low-pressure segments","Local purchasing power and destination type affect benchmarks"
stay_duration,Average Stay Duration,economic,"guest_nights / visitors","hotel PMS, official accommodation stats, surveys","Measures overnight economic depth","Promote multi-day routes and bundles","Day-trip corridors and islands have different targets"
offseason_revenue,Off-season Revenue,economic,"offseason_revenue_current / offseason_revenue_baseline - 1","GSO/local revenue, hotel revenue, payment/tax aggregates","Baseline-based, not total annual revenue","Evaluate festivals, discounts, route campaigns","Off-season months differ by region and climate"
infrastructure_stress,Infrastructure Stress,infrastructure,"weighted load/capacity for traffic, waste, water, electricity, emergency services","utilities, environment, transport, emergency service logs","Built from physical infrastructure loads","Điều phối dịch vụ công và kiểm soát quảng bá khi hạ tầng căng","Small islands and heritage towns need lower thresholds"
transport_overload,Transport Overload,infrastructure,"passenger_load / scheduled_capacity plus delay index","airport/rail/bus/ferry schedules and status","Operator capacity data drives metric","Add shuttles, ferry trips, bus lanes, arrival staggering","Ferry/island thresholds stricter than urban roads"
environmental_pressure,Environmental Pressure,infrastructure,"waste + water + wastewater + air/beach quality pressure vs limits","environment sensors, utilities, monitoring stations","Compares observed pressure to environmental limits","Limit visitor flows and protect fragile zones","Coastal, island and heritage zones use stricter caps"
sentiment_score,Tourist Sentiment Score,experience,"weighted multilingual sentiment over recent reviews/social/hotline text","reviews, social APIs, hotline logs, survey text","NLP output must retain model/version/source coverage","Quality management and safe redistribution filters","Language and market mix need localized models"
complaint_frequency,Complaint Frequency,experience,"complaints per 1,000 visitors by topic","reviews, social complaints, hotline, visitor surveys","Normalized by visitor volume to avoid popularity bias","Trigger sanitation, queue, service or safety response","Thresholds differ for festivals, airports, beaches, heritage sites"
overcrowding_dissatisfaction,Overcrowding Dissatisfaction,experience,"share of negative texts mentioning crowding/waiting/overload","NLP topic classifier over reviews/social/hotline text","Topic evidence links dissatisfaction to overcrowding","Validate whether congestion harms experience","Heritage and beach destinations have distinct crowd vocabulary"
