"diem_den","van_de","hanh_dong","doi_tuong_thuc_hien","chi_phi_trien_khai","loi_ich_ky_vong","logic_kinh_te","kpi_do_luong","diem_tac_dong_kinh_te","diem_kha_thi","diem_khan_cap","diem_uu_tien","muc_uu_tien","du_lieu_dung","do_tin_cay"
"Ha Long","áp lực cao/nguy cơ quá tải","Điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app","Chính quyền","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","64.5","68.66","84.73","85","Cao","mixed_proxy_near_real_time","76.5"
"Ha Long","áp lực cao/nguy cơ quá tải","Phân luồng tại tuyến ven biển, đặt biển báo, tăng lực lượng ở nút vào bãi biển/POI","Công an/giao thông","trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","65.7","63.05","84.73","84","Cao","mixed_proxy_near_real_time","76.5"
"Ha Long","áp lực cao/nguy cơ quá tải","Bán gói liên vùng, chuyển tour sang khung giờ thấp điểm hoặc điểm còn dư địa","Doanh nghiệp du lịch","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","64.8","69.36","84.73","85","Cao","mixed_proxy_near_real_time","76.5"
"Ha Long","áp lực cao/nguy cơ quá tải","Tạo combo lưu trú dài hơn, voucher ăn uống địa phương và điều tiết giá theo trải nghiệm","Khách sạn","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","63.9","70.75","84.73","85","Cao","mixed_proxy_near_real_time","76.5"
"Ha Long","áp lực cao/nguy cơ quá tải","Chia vé theo khung giờ, tăng nhân sự soát vé, đẩy QR/e-ticket","Khu vui chơi","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","64.35","70.05","84.73","85","Cao","mixed_proxy_near_real_time","76.5"
"Ha Long","áp lực cao/nguy cơ quá tải","Tạo voucher giờ thấp điểm, menu combo địa phương và điểm bán vệ tinh","Nhà hàng/OCOP","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","63.3","71.45","84.73","85","Cao","mixed_proxy_near_real_time","76.5"
"Ha Long","áp lực cao/nguy cơ quá tải","Tăng shuttle từ bãi đỗ vệ tinh và tuyến thay thế khi điểm áp lực tăng","Vận tải/shuttle","trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","65.4","65.16","84.73","84","Cao","mixed_proxy_near_real_time","76.5"
"Cat Ba","áp lực cao/nguy cơ quá tải","Điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app","Chính quyền","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","59.66","67.27","70.81","78","Trung bình","mixed_proxy_near_real_time","76.5"
"Cat Ba","áp lực cao/nguy cơ quá tải","Phân luồng tại tuyến ven biển, đặt biển báo, tăng lực lượng ở nút vào bãi biển/POI","Công an/giao thông","trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","60.86","61.67","70.81","78","Trung bình","mixed_proxy_near_real_time","76.5"
"Cat Ba","áp lực cao/nguy cơ quá tải","Bán gói liên vùng, chuyển tour sang khung giờ thấp điểm hoặc điểm còn dư địa","Doanh nghiệp du lịch","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","59.96","67.97","70.81","78","Trung bình","mixed_proxy_near_real_time","76.5"
"Cat Ba","áp lực cao/nguy cơ quá tải","Tạo combo lưu trú dài hơn, voucher ăn uống địa phương và điều tiết giá theo trải nghiệm","Khách sạn","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","59.06","69.37","70.81","78","Trung bình","mixed_proxy_near_real_time","76.5"
"Cat Ba","áp lực cao/nguy cơ quá tải","Chia vé theo khung giờ, tăng nhân sự soát vé, đẩy QR/e-ticket","Khu vui chơi","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","59.51","68.67","70.81","78","Trung bình","mixed_proxy_near_real_time","76.5"
"Cat Ba","áp lực cao/nguy cơ quá tải","Tạo voucher giờ thấp điểm, menu combo địa phương và điểm bán vệ tinh","Nhà hàng/OCOP","thấp-trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","58.46","70.07","70.81","78","Trung bình","mixed_proxy_near_real_time","76.5"
"Cat Ba","áp lực cao/nguy cơ quá tải","Tăng shuttle từ bãi đỗ vệ tinh và tuyến thay thế khi điểm áp lực tăng","Vận tải/shuttle","trung bình","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","60.56","63.77","70.81","78","Trung bình","mixed_proxy_near_real_time","76.5"
"Quy Nhon","còn dư địa hoặc cần theo dõi","Điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app","Chính quyền","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","56.87","66.22","65.71","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Quy Nhon","còn dư địa hoặc cần theo dõi","Phân luồng tại tuyến ven biển, đặt biển báo, tăng lực lượng ở nút vào bãi biển/POI","Công an/giao thông","trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","58.07","60.62","65.71","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Quy Nhon","còn dư địa hoặc cần theo dõi","Bán gói liên vùng, chuyển tour sang khung giờ thấp điểm hoặc điểm còn dư địa","Doanh nghiệp du lịch","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","57.17","66.92","65.71","70","Trung bình","mixed_proxy_near_real_time","76.5"
"Quy Nhon","còn dư địa hoặc cần theo dõi","Tạo combo lưu trú dài hơn, voucher ăn uống địa phương và điều tiết giá theo trải nghiệm","Khách sạn","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","56.27","68.32","65.71","70","Trung bình","mixed_proxy_near_real_time","76.5"
"Quy Nhon","còn dư địa hoặc cần theo dõi","Chia vé theo khung giờ, tăng nhân sự soát vé, đẩy QR/e-ticket","Khu vui chơi","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","56.72","67.62","65.71","70","Trung bình","mixed_proxy_near_real_time","76.5"
"Quy Nhon","còn dư địa hoặc cần theo dõi","Tạo voucher giờ thấp điểm, menu combo địa phương và điểm bán vệ tinh","Nhà hàng/OCOP","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","55.67","69.02","65.71","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Quy Nhon","còn dư địa hoặc cần theo dõi","Tăng shuttle từ bãi đỗ vệ tinh và tuyến thay thế khi điểm áp lực tăng","Vận tải/shuttle","trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","57.77","62.72","65.71","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Da Nang","còn dư địa hoặc cần theo dõi","Điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app","Chính quyền","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","66.93","76.36","63.06","75","Trung bình","mixed_proxy_near_real_time","76.5"
"Da Nang","còn dư địa hoặc cần theo dõi","Phân luồng tại tuyến ven biển, đặt biển báo, tăng lực lượng ở nút vào bãi biển/POI","Công an/giao thông","trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","68.13","70.76","63.06","74","Trung bình","mixed_proxy_near_real_time","76.5"
"Da Nang","còn dư địa hoặc cần theo dõi","Bán gói liên vùng, chuyển tour sang khung giờ thấp điểm hoặc điểm còn dư địa","Doanh nghiệp du lịch","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","67.23","77.06","63.06","75","Trung bình","mixed_proxy_near_real_time","76.5"
"Da Nang","còn dư địa hoặc cần theo dõi","Tạo combo lưu trú dài hơn, voucher ăn uống địa phương và điều tiết giá theo trải nghiệm","Khách sạn","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","66.33","78.46","63.06","75","Trung bình","mixed_proxy_near_real_time","76.5"
