rank,destination_id,ten_diem_den,tinh_thanh,vung,loai_hinh_du_lich,muc_canh_bao,diem_ap_luc,rui_ro_thoi_tiet,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,du_bao_3_thang,co_hoi_kinh_te,kha_nang_dieu_phoi,diem_san_sang_ha_tang,loai_du_lieu,do_tin_cay,nguyen_nhan_chinh,hanh_dong_de_xuat,hieu_qua_kinh_te_ky_vong,cap_nhat_lan_cuoi,nhiet_do_hien_tai,mua_hien_tai,gio_hien_tai,do_am_hien_tai,trang_thai_thoi_tiet_ngan,cap_nhat_thoi_tiet_luc,lat,lng,coastal_zone,diem_uu_tien_dau_tu,diem_suc_khoe_diem_den
1,ha_long,Hạ Long,Quảng Ninh,Đông Bắc,biển; di sản; đô thị,cam,84.73,84.1,84.54,85.08,78.59,73.05,50.88,61.76,57.9,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao; proxy giá/lưu trú căng,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.",21/05/2026 13:18,27.4,0.0,13.5,93,Ổn định,21/05/2026 13:18,20.9712,107.0448,yes,56.27,58.22
2,cat_ba,Cát Bà,Hải Phòng,Đông Bắc,đảo; biển; tự nhiên,cam,70.81,96.38,78.48,66.96,59.65,57.65,49.67,35.0,54.82,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao,"Phân luồng giao thông, tăng shuttle, chia khung giờ vào điểm nóng, tạm giảm quảng bá đại trà và đẩy khách sang điểm thay thế có hạ tầng tốt hơn.","Giảm áp lực điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú ở điểm phụ, giảm chi phí xã hội do kẹt xe và trải nghiệm xấu.",21/05/2026 13:18,28.0,0.0,21.1,92,Ổn định,21/05/2026 13:18,20.7278,107.0482,yes,53.38,60.49
3,quy_nhon,Quy Nhơn,Bình Định,Nam Trung Bộ,biển; đô thị,vàng,65.71,68.32,66.49,65.1,60.95,58.24,47.38,35.0,52.49,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.7,0.0,5.4,93,Ổn định,21/05/2026 13:18,13.7563,109.2297,yes,52.01,69.1
4,da_nang,Đà Nẵng,Đà Nẵng,Duyên hải miền Trung,biển; đô thị; cửa ngõ,vàng,63.06,49.64,59.03,64.47,66.4,66.54,67.11,79.84,75.02,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.0,0.1,8.8,94,Ổn định,21/05/2026 13:18,16.0471,108.2068,yes,51.35,81.72
5,mui_ne,Mũi Né,Bình Thuận,Nam Trung Bộ,biển; thể thao,vàng,60.78,49.66,57.44,61.98,61.19,59.36,52.03,35.0,58.88,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.1,0.1,6.7,93,Ổn định,21/05/2026 13:18,10.9333,108.2833,yes,50.4,77.9
6,sam_son,Sầm Sơn,Thanh Hóa,Bắc Trung Bộ,bãi biển,vàng,58.85,97.98,70.59,53.74,43.65,40.68,28.78,35.0,35.04,mixed_proxy_near_real_time,76.5,rủi ro thời tiết cao; hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,28.8,0.0,21.1,91,Ổn định,21/05/2026 13:18,19.7419,105.902,yes,48.96,59.53
7,hoi_an,Hội An,Quảng Nam,Duyên hải miền Trung,di sản; biển,vàng,52.25,41.96,49.16,53.13,59.08,62.96,78.48,72.97,81.82,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.0,0.1,5.2,95,Ổn định,21/05/2026 13:18,15.8801,108.338,yes,50.82,90.54
8,hue,Huế,Huế,Duyên hải miền Trung,di sản; đô thị,vàng,51.4,61.22,54.35,49.51,50.6,53.36,64.4,35.0,68.51,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.1,0.1,1.9,97,Ổn định,21/05/2026 13:18,16.4637,107.5909,no,49.63,82.12
9,vung_tau,Vũng Tàu,Bà Rịa - Vũng Tàu,Đông Nam Bộ,biển; đô thị,vàng,40.95,48.82,43.31,39.42,43.73,48.71,68.62,35.0,70.7,mixed_proxy_near_real_time,76.5,áp lực ở mức theo dõi từ dữ liệu hiện có,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,28.5,0.0,7.9,83,Ổn định,21/05/2026 13:18,10.4114,107.1362,yes,47.94,90.58
10,cua_lo,Cửa Lò,Nghệ An,Bắc Trung Bộ,bãi biển,xanh,36.2,40.58,37.51,35.9,34.2,33.14,28.9,35.0,37.2,mixed_proxy_near_real_time,76.5,hạ tầng proxy yếu,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,28.5,0.0,9.1,85,Ổn định,21/05/2026 13:18,18.7929,105.722,yes,42.59,84.72
11,ninh_binh,Ninh Bình,Ninh Bình,Đồng bằng sông Hồng,di sản; tự nhiên,xám,48.38,85.38,59.48,43.78,34.4,31.48,19.82,35.0,23.27,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,28.2,0.0,14.1,91,Ổn định,21/05/2026 13:18,20.2506,105.9745,no,46.88,63.86
12,ly_son,Lý Sơn,Quảng Ngãi,Đảo miền Trung,đảo; biển,xám,47.76,83.6,58.51,43.32,33.89,30.79,18.39,35.0,22.7,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,28.1,0.0,27.0,85,Ổn định,21/05/2026 13:18,15.3833,109.1167,yes,46.35,64.42
13,ha_noi,Hà Nội,Hà Nội,Đồng bằng sông Hồng,đô thị; di sản; cửa ngõ,xám,45.65,77.56,55.22,41.74,34.3,32.26,24.09,50.89,33.92,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,27.5,0.0,12.2,94,Ổn định,21/05/2026 13:18,21.0278,105.8342,no,44.18,70.24
14,ha_giang,Hà Giang,Hà Giang,Miền núi phía Bắc,núi; tự nhiên,xám,43.62,71.78,52.07,40.21,32.82,30.31,20.26,35.0,25.66,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,24.9,0.6,3.1,97,Ổn định,21/05/2026 13:18,22.8233,104.9836,no,45.03,70.12
15,phu_quoc,Phú Quốc,Kiên Giang,Đảo Tây Nam Bộ,đảo; biển,xám,37.76,57.28,43.62,35.5,35.28,37.37,45.72,41.8,48.71,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,26.6,0.1,11.6,87,Ổn định,21/05/2026 13:18,10.2899,103.984,yes,45.68,83.3
